Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
40,P,Jose Ruiz\ruizjo01,24,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
41,P,Thyago Vieira\vieirth01,25,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
42,P,Kelvin Herrera\herreke01,29,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
43,P,Nate Jones\jonesna01,33,0,0,,,,,,,,,,,,,,,,,,,,,,
44,P,Evan Marshall\marshev01,29,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
45,P,Juan Minaya\minayju01,28,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
46,P,Odrisamer Despaigne\despaod01,32,0,0,,,,,,,,,,,,,,,,,,,,,,
47,P,Jace Fry*\fryja01,25,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
,,Team Totals,27.7,161,6042,5529,708,1443,260,20,182,676,63,28,378,1549,.261,.314,.414,.728,94,2289,114,66,36,32,13
,,Rank in 15 AL teams,,,,11,13,5,13,13,13,,10,8,15,12,5,11,13,12,,13,,7,,14,
,,Non-Pitcher Totals,27.7,161,6022,5511,708,1442,260,20,182,674,63,28,378,1537,.262,.315,.415,.730,94,2288,114,66,34,32,13
,,Pitcher Totals,24.9,161,20,18,0,1,0,0,0,2,0,0,0,12,.056,.056,.056,.111,-70,1,0,0,2,0,0
