Name,Age,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Acquired,Pos Summary
Jose Abreu\abreujo02,31,128,553,9,0,-1,-4,-7,-3,-0.1,20,16,1.7,.497,.498,2.0,-1.0,20,$13000000,Amateur Free Agent,*3D
Tim Anderson\anderti01,25,153,606,-8,3,-1,0,8,2,0.5,22,24,2.5,.501,.501,2.4,1.0,24,$1000000,Amateur Draft,*6/D
Luis Avilan*\avilalu01,28,3,1,0,0,0,0,0,0,0.0,0,0,0.0,.496,.500,0.0,0.0,0,$2450000,Traded,1
Chris Beck\beckch02,27,4,1,0,0,0,0,0,0,0.0,0,0,0.0,.497,.500,0.0,0.0,0,,Amateur Draft,1
Aaron Bummer*\bummeaa01,24,4,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$549000,Amateur Draft,1
Welington Castillo\castiwe01,31,49,181,-1,0,-1,-2,3,-1,-0.1,6,5,0.6,.498,.499,0.7,0.1,7,$7250000,Free Agency,2/D
Xavier Cedeno*\cedenxa01,31,2,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Free Agency,1
Ryan Cordell\cordery01,26,19,40,-6,0,0,-1,0,-7,-0.8,1,-6,-0.6,.459,.495,-0.5,-0.1,-5,,Traded,/98
Dylan Covey\coveydy01,26,1,1,0,0,0,0,0,0,0.0,0,0,0.0,.488,.500,0.0,0.0,0,,Rule 5 Draft,1
Matt Davidson\davidma02,27,123,496,3,-1,-1,0,-8,-7,-0.5,18,11,1.1,.494,.496,1.0,-0.7,11,$570000,Traded,D35/1
Nicky Delmonico*\delmoni01,25,88,318,-7,-1,0,-6,-4,-18,-1.7,11,-7,-0.7,.479,.489,-0.1,-0.9,-1,$553000,Free Agency,7/3D
Adam Engel\engelad01,26,143,463,-18,2,1,1,3,-11,-1.0,17,5,0.6,.492,.493,0.4,0.6,4,$552000,Amateur Draft,*8/D
Jace Fry*\fryja01,24,3,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Amateur Draft,1
Carson Fulmer\fulmeca01,24,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$552000,Amateur Draft,/1
