Name,Age,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Acquired,Pos Summary
Jose Abreu\abreujo02,28,154,668,26,-3,-1,1,-10,13,1.5,23,37,3.8,.509,.509,3.7,-0.9,36,$8666000,Amateur Free Agent,*3D
Matt Albers*\alberma01,32,0,0,0,0,0,0,0,0,,0,0,,,,,,0,$1500000,Free Agency,1
Chris Beck\beckch02,24,0,0,0,0,0,0,0,0,,0,0,,,,,,0,,Amateur Draft,/1
Gordon Beckham\beckhgo01,28,100,237,-9,0,-1,6,2,-2,-0.1,8,7,0.7,.498,.499,0.1,0.9,1,$2000000,Free Agency,54/6D
Emilio Bonifacio#\bonifem01,30,47,82,-9,-2,0,1,0,-10,-1.1,3,-7,-0.8,.476,.493,-0.9,0.1,-8,$3000000,Free Agency,4/D875
Rob Brantly*\brantro01,25,14,36,-4,0,0,-1,1,-4,-0.4,1,-3,-0.3,.468,.497,-0.2,0.0,-2,,Waivers,2
Melky Cabrera#\cabreme01,30,158,683,-2,0,0,-2,-6,-10,-1.0,24,14,1.4,.493,.493,1.6,-0.9,16,$13000000,Free Agency,*7/D
Scott Carroll\carrosc02,30,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Free Agency,1
John Danks*\danksjo01,30,0,0,0,0,0,0,0,0,,0,0,,,,,,0,$15750000,Traded,1
Kyle Drabek\drabeky01,27,0,0,0,0,0,0,0,0,,0,0,,,,,,0,$518200,Waivers,/1
Zach Duke*\dukeza01,32,6,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$4500000,Free Agency,1
Adam Eaton*\eatonad02,26,153,689,18,5,2,-14,3,15,1.7,23,38,4.0,.510,.510,5.5,-1.1,52,$850000,Traded,*8/D
Tyler Flowers\flowety01,29,112,361,-7,-2,0,-2,6,-5,-0.5,13,8,0.8,.495,.497,1.0,0.5,10,$2675000,Traded,*2/3D
Avisail Garcia\garciav01,24,148,601,-7,0,1,-11,-7,-24,-2.5,22,-3,-0.4,.483,.484,0.8,-1.8,8,$523000,Traded,*9D
Leury Garcia#\garcile02,24,17,15,-1,0,0,0,0,-1,-0.1,1,0,-0.1,.494,.499,-0.1,0.0,0,,Traded,/864D71
Conor Gillaspie*\gillaco01,27,58,185,-6,-1,0,-8,1,-15,-1.5,7,-8,-0.9,.473,.490,0.0,-0.8,0,$550000,Traded,5/3D
