Name,Age,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Acquired,Pos Summary
Javy Guerra\guerrja01,29,0,0,0,0,0,0,0,0,,0,0,,,,,,0,$937500,Waivers,/1
Junior Guerra\guerrju02,30,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Free Agency,/1
Dan Jennings*\jennida01,28,0,0,0,0,0,0,0,0,,0,0,,,,,,0,$523000,Traded,1
Erik Johnson\johnser04,25,0,0,0,0,0,0,0,0,,0,0,,,,,,0,,Amateur Draft,/1
Micah Johnson*\johnsmi04,24,36,114,-5,-1,0,-7,1,-12,-1.3,4,-8,-0.9,.463,.492,-0.2,-0.6,-1,,Amateur Draft,4
Nate Jones\jonesna01,29,0,0,0,0,0,0,0,0,,0,0,,,,,,0,$660000,Amateur Draft,1
Adam LaRoche*\larocad01,35,127,484,-11,-1,-1,-1,-9,-24,-2.5,17,-6,-0.8,.480,.484,-0.7,-1.1,-5,$12000000,Free Agency,D3/1
Frankie Montas\montafr02,22,0,0,0,0,0,0,0,0,,0,0,,,,,,0,,Traded,/1
Hector Noesi\noesihe01,28,2,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$1950000,Waivers,1
Mike Olt\oltmi01,26,24,86,-4,-1,0,-5,0,-9,-1.0,3,-6,-0.7,.459,.494,-0.1,-0.5,-1,,Waivers,5/3
Jake Petricka\petrija01,27,5,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$520000,Amateur Draft,1
Zach Putnam\putnaza01,27,3,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$525000,Free Agency,1
Jose Quintana\quintjo01,26,4,9,-2,0,0,0,1,-1,-0.1,0,-1,-0.1,.470,.499,-0.1,0.0,-1,$3400000,Free Agency,1
Alexei Ramirez\ramiral03,33,154,622,-12,-1,-1,-6,8,-12,-1.2,22,10,1.0,.491,.492,1.6,0.3,16,$10000000,Amateur Free Agent,*6/D1
David Robertson\roberda08,30,5,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$10000000,Free Agency,1
Carlos Rodon*\rodonca01,22,2,3,-1,0,0,0,0,0,0.0,0,0,0.0,.480,.500,0.0,0.0,0,,Amateur Draft,1
Tyler Saladino\saladty01,25,68,254,-11,2,-1,11,2,3,0.4,9,12,1.3,.505,.502,0.1,1.4,1,,Amateur Draft,56/3
Chris Sale*\salech01,26,3,9,-2,0,0,0,1,0,0.0,0,0,0.0,.497,.500,0.0,0.0,0,$6000000,Amateur Draft,1
Jeff Samardzija\samarje01,30,1,2,0,0,0,0,0,0,0.0,0,0,0.0,.541,.500,0.0,0.0,0,$9800000,Traded,1
Yolmer Sanchez#\sanchca01,23,120,420,-17,-1,1,6,3,-7,-0.7,15,8,0.8,.493,.495,0.1,1.0,2,$510000,Amateur Free Agent,*4/D
JB Shuck*\shuckja01,28,79,165,1,0,2,2,-1,3,0.4,6,9,0.9,.504,.502,0.7,0.1,7,$516000,Waivers,987
Geovany Soto\sotoge01,32,78,210,1,-1,0,-1,4,2,0.2,8,9,1.0,.502,.501,1.1,0.3,10,$1500000,Free Agency,2/D
Trayce Thompson\thomptr01,24,44,135,8,0,-1,3,-1,9,1.0,5,14,1.5,.523,.506,1.2,0.2,11,,Amateur Draft,978/D
Daniel Webb\webbda01,25,3,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Traded,1
Team Total,28.2,1727,6070,-56,-7,1,-28,-2,-93,-8.8,215,122,12.1,.494,.497,15.1,-2.7,150,$112373700,,
