Name,Age,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
Manny Banuelos*\banuema01,28,50.2,16,8,39,6.93,4.76,-0.38,0.06,99.8,5.19,-10,-1.0,.33,0.0,-0.4,-4,.441,.494,$559000,Traded
Aaron Bummer*\bummeaa01,25,67.2,58,0,17,2.26,4.82,-0.32,-0.31,100.1,4.83,19,1.9,1.46,0.3,2.8,27,.532,.511,,Amateur Draft
Ryan Burr\burrry01,25,19.2,16,1,13,5.95,5.01,-0.37,-0.27,99.2,5.07,-2,-0.2,.55,0.0,0.0,0,.487,.499,$556000,Traded
Dylan Cease\ceasedy01,23,73.0,14,14,51,6.29,4.72,-0.35,0.22,99.3,5.26,-9,-0.8,,0.0,-0.2,0,.440,.495,,Traded
Alex Colome\colomal01,30,61.0,62,0,28,4.13,4.83,-0.35,-0.31,99.6,4.84,4,0.4,1.52,0.0,1.0,11,.507,.503,$7325000,Traded
Jimmy Cordero\cordeji01,27,36.0,30,0,11,2.75,4.93,-0.33,-0.32,99.7,4.92,8,0.8,.84,-0.2,1.0,13,.528,.505,,Waivers
Dylan Covey\coveydy01,27,58.2,18,12,54,8.28,4.94,-0.44,0.14,99.1,5.47,-19,-1.7,1.32,-0.1,-1.2,-12,.406,.490,$571000,Rule 5 Draft
Odrisamer Despaigne\despaod01,32,13.1,3,3,14,9.45,5.27,-0.49,0.25,104.1,6.26,-5,-0.4,,0.0,-0.3,-3,.362,.497,,Free Agency
Ross Detwiler*\detwiro01,33,69.2,18,12,54,6.98,4.92,-0.42,0.13,98.4,5.39,-13,-1.2,.35,0.0,-0.5,-5,.434,.493,$100000,Free Agency
Caleb Frare*\frareca01,25,2.2,5,0,3,10.13,5.72,-0.33,-0.37,99.3,5.64,-1,-0.1,.76,0.0,-0.1,-1,.474,.499,$555000,Traded
Jace Fry*\fryja01,25,55.0,68,0,33,5.40,5.05,-0.31,-0.33,99.8,5.02,-3,-0.3,1.01,-0.1,0.2,4,.496,.498,$569000,Amateur Draft
Carson Fulmer\fulmeca01,25,27.1,20,2,22,7.24,4.61,-0.39,-0.26,101.0,4.78,-8,-0.7,.79,0.0,-0.5,-4,.464,.495,,Amateur Draft
Lucas Giolito\giolilu01,24,176.2,29,29,69,3.52,5.04,-0.29,0.24,99.5,5.54,38,4.0,,-0.1,5.6,59,.639,.525,$573000,Traded
Kelvin Herrera\herreke01,29,51.1,57,0,36,6.31,4.82,-0.38,-0.31,99.7,4.87,-9,-0.8,.91,-0.1,-0.4,-3,.485,.495,$8500000,Free Agency
Nate Jones\jonesna01,33,10.1,13,0,4,3.48,4.79,-0.35,-0.31,100.0,4.83,1,0.1,.91,0.0,0.2,3,.511,.501,$4650000,Amateur Draft
Reynaldo Lopez\lopezre01,25,184.0,33,33,119,5.82,4.70,-0.38,0.22,100.3,5.32,-12,-1.1,,-0.1,0.5,10,.465,.493,$580000,Traded
Evan Marshall\marshev01,29,50.2,55,0,16,2.84,4.95,-0.35,-0.32,99.4,4.95,11,1.1,1.46,0.1,1.8,17,.520,.507,,Free Agency
Juan Minaya\minayju01,28,27.2,22,0,13,4.23,5.06,-0.38,-0.33,101.3,5.18,3,0.3,.42,-0.1,0.4,6,.512,.502,,Waivers
Ivan Nova\novaiv01,32,187.0,34,34,107,5.15,4.77,-0.42,0.23,100.7,5.45,4,0.4,,-0.1,2.1,27,.513,.503,$9167000,Traded
Josh Osich*\osichjo01,30,67.2,57,0,38,5.05,5.01,-0.36,-0.33,99.7,5.03,-1,-0.1,.74,-0.2,0.5,7,.499,.500,,Waivers
AJ Reed*\reedaj01,26,1.0,1,0,0,0.00,5.88,-0.37,-0.39,98.0,5.74,1,0.1,.00,0.0,0.0,1,.564,.500,,Waivers
Carlos Rodon*\rodonca01,26,34.2,7,7,22,5.71,4.55,-0.34,0.22,100.3,5.12,-3,-0.2,,0.0,0.1,2,.465,.498,$4200000,Amateur Draft
Jose Rondon\rondojo02,25,1.0,1,0,0,0.00,5.01,-0.62,-0.32,98.0,5.20,1,0.1,.03,0.0,0.0,1,.557,.500,$560000,Purchased
Jose Ruiz\ruizjo01,24,40.0,40,1,27,6.08,4.98,-0.42,-0.30,99.6,5.09,-5,-0.5,.67,0.0,-0.1,0,.489,.497,,Waivers
Ervin Santana\santaer01,36,13.1,3,3,14,9.45,4.57,-0.49,0.22,99.9,5.27,-6,-0.5,,0.0,-0.4,-5,.328,.497,$100000,Free Agency
Hector Santiago*\santihe01,31,25.2,11,2,20,7.01,4.81,-0.36,-0.03,98.5,5.06,-6,-0.5,.13,0.1,-0.2,-3,.451,.497,,Free Agency
Thyago Vieira\vieirth01,25,7.0,6,0,8,10.29,5.58,-0.42,-0.36,98.2,5.54,-4,-0.3,.21,0.1,-0.2,-3,.442,.498,,Traded
Team Total,27.5,1412.2,697,161,832,5.30,4.86,-0.37,0.01,99.9,5.23,-25,-1.4,1.00,-0.7,11.8,143,.498,.501,$38565000,
